Wall time,Step,Value
1698244008.431964,7,0.625
1698244030.4093816,15,0.625
1698244052.5394485,23,0.75
1698244074.8666937,31,0.875
1698244097.0750973,39,0.5
1698244119.1445687,47,0.75
1698244141.434551,55,0.75
1698244163.9963,63,0.875
1698244186.7023134,71,0.75
1698244209.191545,79,0.875
1698244231.8279202,87,1.0
1698244254.4764879,95,1.0
1698244277.2014387,103,1.0
1698244299.6603885,111,0.75
1698244322.0121129,119,0.875
1698244344.3772001,127,0.75
1698244366.8305175,135,0.5
1698244389.5456212,143,0.375
1698244411.7966354,151,0.25
1698244434.1478572,159,0.625
1698244456.6317542,167,0.375
1698244478.660995,175,0.625
1698244501.286126,183,0.875
1698244523.7344291,191,0.75
1698244546.0987828,199,0.75
1698244568.2282834,207,0.875
1698244590.5954928,215,0.625
1698244613.0572846,223,0.875
1698244635.7795382,231,0.875
1698244659.419206,239,1.0
1698244683.0389726,247,0.875
1698244707.2333708,255,0.75
1698244732.6709166,263,0.75
1698244759.4114537,271,0.875
1698244786.8363533,279,0.875
1698244813.8325973,287,0.75
1698244842.264019,295,1.0
1698244870.8169467,303,0.75
1698244899.4288743,311,0.875
1698244928.405802,319,0.5
1698244957.6926396,327,0.875
1698244986.7891908,335,0.625
1698245016.5205798,343,0.875
1698245045.7716184,351,0.625
1698245075.1049998,359,0.875
1698245104.559747,367,0.5
1698245134.112651,375,1.0
1698245164.3543146,383,0.75
1698245194.361688,391,0.625
1698245224.9993703,399,0.5
1698245255.5218868,407,0.625
1698245286.164013,415,0.5
1698245316.6251318,423,0.375
1698245347.4137301,431,0.75
1698245378.30133,439,0.75
1698245409.0575788,447,0.625
1698245440.1533537,455,0.625
1698245471.105807,463,0.875
1698245502.3073902,471,0.75
1698245533.6244748,479,0.625
1698245561.7588162,487,1.0
1698245590.3678706,495,0.625
1698245618.9629595,503,0.875
1698245647.5798643,511,0.875
1698245676.864355,519,0.5
1698245706.0436125,527,0.875
1698245735.4144144,535,0.75
1698245765.085699,543,0.875
1698245794.7234974,551,0.625
1698245824.2663221,559,0.625
1698245853.8938868,567,1.0
1698245883.695849,575,0.875
1698245913.4132855,583,0.625
1698245942.8871205,591,0.625
1698245972.4510279,599,0.75
1698246001.728224,607,0.75
1698246031.1772623,615,0.5
1698246060.6573741,623,0.75
1698246089.8128304,631,0.375
1698246118.873503,639,0.5
1698246148.4492817,647,0.75
1698246177.9790707,655,0.625
1698246207.9719803,663,0.5
1698246237.864793,671,0.875
1698246267.8823068,679,0.75
1698246297.7814362,687,1.0
1698246328.1524527,695,0.625
1698246357.8344593,703,0.875
1698246387.3999743,711,0.875
1698246417.8317409,719,1.0
1698246447.4671962,727,0.875
1698246477.335687,735,0.875
1698246507.149593,743,0.75
1698246537.2071915,751,0.875
1698246567.6423862,759,0.875
1698246597.288056,767,0.875
1698246627.260497,775,1.0
1698246657.4139237,783,0.875
1698246687.1042202,791,0.875
1698246716.878293,799,0.5
1698246746.6419017,807,0.875
1698246775.8116634,815,0.75
1698246805.3139548,823,0.875
1698246834.864646,831,0.625
1698246864.2904966,839,0.875
1698246893.9352791,847,0.5
1698246923.235655,855,1.0
1698246952.9679725,863,0.875
1698246982.3424594,871,0.625
1698247012.2001827,879,0.625
1698247041.9130588,887,1.0
1698247071.333493,895,0.75
1698247101.0060399,903,0.625
1698247130.562758,911,0.875
1698247160.0890622,919,0.875
1698247189.5162954,927,0.875
1698247218.939098,935,0.625
1698247248.1448348,943,1.0
1698247277.3414497,951,0.625
1698247306.3648157,959,0.5
1698247334.4154546,967,0.625
1698247363.3746605,975,0.375
1698247392.2025478,983,0.375
1698247421.0185204,991,0.375
1698247449.6623294,999,0.375
1698247478.5206919,1007,0.625
1698247507.2968218,1015,0.5
1698247536.185927,1023,0.375
1698247565.271646,1031,0.375
1698247594.4408028,1039,0.5
1698247623.5981266,1047,0.875
1698247652.8197901,1055,0.625
1698247681.999421,1063,1.0
1698247711.0159492,1071,0.75
1698247740.0569644,1079,0.875
1698247768.853298,1087,0.75
1698247797.7479434,1095,0.5
1698247826.662091,1103,1.0
1698247855.2236211,1111,0.625
1698247883.913479,1119,0.625
1698247913.2408442,1127,1.0
1698247942.2472563,1135,0.625
1698247971.6541202,1143,0.875
1698248000.9557755,1151,1.0
1698248030.4042053,1159,0.75
1698248059.3107076,1167,1.0
1698248088.0859697,1175,0.625
1698248116.3422737,1183,0.875
1698248144.4627438,1191,0.875
1698248173.4409137,1199,1.0
1698248201.742079,1207,0.875
1698248230.1712458,1215,0.875
1698248258.6060297,1223,0.75
1698248287.1011202,1231,0.875
1698248315.6766758,1239,0.875
1698248343.8539069,1247,0.875
1698248372.3467438,1255,1.0
1698248400.5557745,1263,0.875
1698248428.48748,1271,0.875
1698248456.2063303,1279,0.5
1698248484.3630486,1287,0.875
1698248512.0466573,1295,0.75
1698248540.0009468,1303,0.875
1698248567.8565614,1311,0.625
1698248595.9657705,1319,0.875
1698248624.0941668,1327,0.5
1698248652.0761385,1335,1.0
1698248680.4329908,1343,0.875
1698248708.3442802,1351,0.625
1698248737.0013142,1359,0.625
1698248765.6881151,1367,1.0
1698248794.417591,1375,0.75
1698248822.9391134,1383,0.625
1698248851.38048,1391,0.875
1698248880.0620828,1399,0.875
1698248908.7844875,1407,0.875
1698248937.2735038,1415,0.625
1698248965.6636105,1423,1.0
1698248993.9988997,1431,0.875
1698249022.3895378,1439,0.625
1698249050.467103,1447,1.0
1698249079.1450322,1455,0.625
1698249107.4910161,1463,0.875
1698249135.6668298,1471,0.875
1698249163.9906707,1479,0.5
1698249192.0377471,1487,0.875
1698249220.4242256,1495,0.75
1698249248.875762,1503,0.875
1698249277.686063,1511,0.75
1698249306.397239,1519,0.875
1698249335.3336213,1527,1.0
1698249364.5197177,1535,1.0
1698249393.6638436,1543,1.0
1698249422.5701296,1551,0.75
1698249451.3923442,1559,0.875
1698249480.4232228,1567,0.75
1698249509.496602,1575,0.5
1698249538.5372086,1583,1.0
1698249567.171555,1591,0.625
1698249595.7326906,1599,0.625
1698249624.5374002,1607,1.0
1698249653.0229979,1615,0.625
1698249681.778496,1623,0.875
1698249710.493582,1631,1.0
1698249739.2404797,1639,0.75
1698249768.007437,1647,1.0
1698249797.0808322,1655,0.625
1698249825.966801,1663,0.875
1698249854.1958735,1671,0.875
1698249883.0434232,1679,1.0
1698249911.4137535,1687,0.875
1698249939.8684769,1695,0.875
1698249968.7631927,1703,0.75
1698249997.586993,1711,0.875
1698250026.557601,1719,0.875
1698250055.1121037,1727,0.875
1698250083.893732,1735,1.0
1698250112.7693026,1743,0.875
1698250141.5373309,1751,0.875
1698250170.338639,1759,0.5
1698250199.236071,1767,0.875
