Wall time,Step,Value
1698161546.014622,7,0.5
1698161615.4702492,15,1.0
1698161680.7993958,23,0.875
1698161746.0216618,31,0.75
1698161812.5664709,39,1.0
1698161878.31048,47,0.625
1698161944.9060955,55,0.875
1698162010.591446,63,0.875
1698162073.2283387,71,1.0
1698162136.8724535,79,1.0
1698162200.9937816,87,1.0
1698162265.3004293,95,0.875
1698162329.370414,103,0.75
1698162393.026674,111,1.0
1698162457.971797,119,0.875
1698162522.156303,127,1.0
1698162586.4087865,135,1.0
1698162650.6136656,143,0.875
1698162714.9415987,151,1.0
1698162779.5010982,159,1.0
1698162843.3740175,167,0.875
1698162907.1999564,175,0.875
1698162972.4292693,183,0.75
1698163037.3430133,191,1.0
1698163100.8442624,199,1.0
1698163164.9627156,207,1.0
1698163229.6074357,215,1.0
1698163294.3553228,223,0.875
1698163358.5104687,231,1.0
1698163423.6858656,239,0.625
1698163488.6535594,247,0.875
1698163553.0480058,255,1.0
1698163617.1543682,263,0.875
1698163681.6157541,271,1.0
1698163746.6356921,279,1.0
1698163811.0596654,287,0.875
1698163875.4739933,295,1.0
1698163939.866595,303,0.875
1698164005.0973737,311,0.75
1698164069.4664798,319,1.0
1698164133.6558533,327,0.875
1698164197.862169,335,1.0
1698164263.3238103,343,0.875
1698164328.1582043,351,1.0
1698164392.0096443,359,1.0
1698164456.1150901,367,1.0
1698164522.7560518,375,0.875
1698164585.1703248,383,1.0
1698164649.551051,391,1.0
1698164713.947034,399,0.875
1698164779.0666602,407,0.875
1698164840.1201203,415,0.875
1698164901.547908,423,1.0
1698164963.181189,431,0.875
1698165025.5451522,439,0.875
1698165086.5049467,447,1.0
1698165148.354236,455,0.75
1698165209.6130667,463,1.0
1698165271.828738,471,1.0
1698165333.1349394,479,0.875
1698165395.4921787,487,0.875
1698165456.5533178,495,1.0
1698165517.9655297,503,1.0
1698165579.9609597,511,0.625
1698165641.2146146,519,1.0
1698165701.95824,527,0.75
1698165762.9596815,535,0.75
1698165824.0837333,543,0.875
1698165885.0581648,551,1.0
1698165946.148692,559,1.0
1698166007.5103962,567,1.0
1698166068.6686656,575,0.875
1698166129.7112706,583,0.75
1698166190.8593528,591,1.0
1698166251.900936,599,0.875
1698166313.216808,607,1.0
1698166374.7318325,615,1.0
1698166436.5409567,623,0.875
1698166497.7152967,631,1.0
1698166558.7060583,639,1.0
1698166620.3533902,647,0.875
1698166681.4036078,655,0.875
1698166742.279322,663,0.75
1698166804.5078304,671,1.0
1698166866.1278362,679,1.0
1698166927.385492,687,1.0
1698166988.2779832,695,1.0
1698167049.6788857,703,0.875
1698167110.89801,711,1.0
1698167171.9313145,719,0.625
1698167233.7381496,727,0.875
1698167295.443041,735,1.0
1698167356.6755846,743,0.875
1698167418.479485,751,1.0
1698167480.1857219,759,1.0
1698167541.5587173,767,0.875
1698167602.9024215,775,1.0
1698167664.5831711,783,0.875
1698167726.101405,791,0.75
1698167787.244813,799,1.0
1698167848.5724545,807,0.875
1698167909.7952332,815,1.0
1698167971.2411187,823,0.875
1698168032.4437714,831,1.0
1698168094.1080756,839,1.0
1698168156.603924,847,1.0
1698168219.798986,855,0.875
1698168282.3368485,863,1.0
1698168343.7597475,871,1.0
1698168405.5940185,879,0.875
1698168466.9038517,887,0.875
1698168528.8627548,895,0.875
1698168590.468795,903,1.0
1698168651.4543686,911,0.875
1698168712.595696,919,0.875
1698168774.0001452,927,1.0
1698168835.490135,935,0.75
1698168896.6313386,943,1.0
1698168958.4458013,951,0.875
1698169020.4599504,959,0.875
1698169087.4990396,967,0.875
1698169149.4572012,975,1.0
1698169210.9413798,983,1.0
1698169273.1335852,991,0.75
1698169335.8004062,999,1.0
1698169397.1234574,1007,0.75
1698169458.641114,1015,0.875
1698169520.217311,1023,0.875
1698169581.8076084,1031,1.0
1698169643.0762844,1039,1.0
1698169705.013618,1047,1.0
1698169766.7909174,1055,0.875
1698169828.777903,1063,0.75
1698169890.2919934,1071,1.0
1698169951.4428313,1079,0.875
1698170013.1076303,1087,1.0
1698170074.749358,1095,1.0
1698170136.5889635,1103,0.875
1698170198.3312502,1111,1.0
1698170268.8727584,1119,1.0
1698170337.0626585,1127,0.875
1698170401.1635256,1135,0.875
1698170467.676852,1143,0.75
1698170534.1711338,1151,1.0
1698170604.1810362,1159,1.0
1698170668.6841362,1167,1.0
1698170732.1788766,1175,1.0
1698170793.200129,1183,0.875
1698170854.0644999,1191,1.0
1698170915.27903,1199,0.625
1698170976.7113478,1207,0.875
1698171037.896882,1215,1.0
1698171098.5088115,1223,0.875
1698171159.0851262,1231,1.0
1698171220.3126934,1239,1.0
1698171281.5590665,1247,0.875
1698171344.6324127,1255,1.0
1698171409.1455617,1263,0.875
1698171472.7589517,1271,0.75
1698171536.0738053,1279,1.0
1698171600.1886153,1287,0.875
1698171663.0368183,1295,1.0
1698171726.4713132,1303,0.875
1698171789.0990756,1311,1.0
1698171852.0180268,1319,1.0
1698171915.8080611,1327,1.0
1698171979.1420486,1335,0.875
1698172043.036353,1343,1.0
1698172106.2225623,1351,1.0
1698172169.738616,1359,0.875
1698172232.4804795,1367,0.875
1698172295.805297,1375,0.875
1698172359.1392095,1383,1.0
1698172422.1883922,1391,0.875
1698172485.1819415,1399,0.875
1698172548.7249417,1407,1.0
1698172611.2883449,1415,0.75
1698172673.943006,1423,1.0
1698172737.371411,1431,0.875
1698172800.7155437,1439,0.875
1698172863.7220938,1447,0.875
1698172926.0391111,1455,1.0
1698172988.3640175,1463,1.0
1698173050.5687299,1471,0.75
1698173112.8895,1479,1.0
1698173174.5221624,1487,0.75
1698173236.8870213,1495,0.875
1698173299.4832964,1503,0.875
1698173361.5045788,1511,1.0
1698173423.9058223,1519,1.0
1698173486.049092,1527,1.0
1698173548.3954725,1535,0.875
1698173610.6556737,1543,0.75
1698173672.955245,1551,1.0
1698173734.8117833,1559,0.875
1698173797.2519443,1567,1.0
1698173859.8477883,1575,1.0
1698173921.7087977,1583,0.875
1698173984.0134153,1591,1.0
1698174046.4125502,1599,1.0
1698174108.9996896,1607,0.875
1698174170.6002424,1615,0.875
1698174232.275994,1623,0.75
1698174293.737864,1631,1.0
1698174355.3777099,1639,1.0
1698174416.8996532,1647,1.0
1698174479.1799343,1655,1.0
1698174540.9443743,1663,0.875
1698174602.4721684,1671,1.0
1698174664.3979597,1679,0.625
1698174725.7419024,1687,0.875
1698174786.8711026,1695,1.0
1698174848.6977859,1703,0.875
1698174910.4601524,1711,1.0
1698174972.6355252,1719,1.0
1698175035.4292872,1727,0.875
1698175097.9564242,1735,1.0
1698175159.1848333,1743,0.875
1698175220.5803394,1751,0.75
1698175281.978549,1759,1.0
1698175343.5487692,1767,0.875
1698175405.3928692,1775,1.0
1698175467.231131,1783,0.875
1698175529.0996697,1791,1.0
1698175590.6437724,1799,1.0
1698175652.0011227,1807,1.0
1698175713.5898163,1815,0.875
1698175775.4147344,1823,1.0
1698175837.3739312,1831,1.0
1698175899.1371708,1839,0.875
1698175960.4488566,1847,0.875
1698176022.4269767,1855,0.875
1698176083.7119768,1863,1.0
1698176145.25788,1871,0.875
1698176206.537013,1879,0.875
1698176268.2110643,1887,1.0
1698176330.0667317,1895,0.75
1698176391.3562796,1903,1.0
1698176452.970305,1911,0.875
1698176514.4869227,1919,0.875
1698176577.0898373,1927,0.875
1698176636.7571385,1935,1.0
1698176696.3341618,1943,1.0
1698176755.979302,1951,0.75
1698176815.965445,1959,1.0
1698176875.4217436,1967,0.75
1698176935.1799936,1975,0.875
1698176994.767628,1983,0.875
1698177054.7299566,1991,1.0
1698177114.4783716,1999,1.0
1698177174.2211437,2007,1.0
1698177234.1890087,2015,0.875
1698177294.4258432,2023,0.75
1698177354.2293327,2031,1.0
1698177414.0660617,2039,0.875
1698177473.9337666,2047,1.0
1698177534.2369628,2055,1.0
1698177593.8649132,2063,0.875
